Address State,Application Type,Emp Length,Emp Title,Good vs Bad Loan,Good vs Bad Loan (copy),Grade,Home Ownership,Id,Issue Date,Last Credit Pull Date,Last Payment Date,Loan Status,Member Id,Months,Next Payment Date,Purpose,Sub Grade,Term,Verification Status,Annual Income,AVG DTI Rate,Avg Interest rate,Bad  Loan % ,Bad Loan Amount Received,Bad Loan Application,Bad Loan Funded Amount,Dti,Dynamic Measure,Good Loan %,Good Loan Amount Received,Good Loan Application,Good Loan Funded Amount,Installment,Int Rate,Loan Amount,Total Acc,Total Funded Amount,Total Funded Amount (copy),Total Loan Application,Total Payment,Total Received Amount,default_probability,default_risk
NJ,INDIVIDUAL,10+ years,UBS,Good Loan,Good Loan,3,4,68926,8/8/2021,5/16/2021,9/11/2021,0,264924,8/1/2021 12:00:00 AM,10/11/2021,8,D2,0,Verified,37152.0,0.022600001,0.131699994,0,,0,,0.022600001,1,1,2797.0,1,2300.0,77.690002441,0.131699994,2300,13,2300,2300,1,2797,2797,0.21428689831682782,Low
NY,INDIVIDUAL,< 1 year,,Good Loan,Good Loan,0,0,69001,9/9/2021,8/15/2021,7/12/2021,0,265533,9/1/2021 12:00:00 AM,8/12/2021,2,A5,0,Not Verified,110000.0,0.070699997,0.089400001,0,,0,,0.070699997,1,1,17136.0,1,15000.0,476.579986572,0.089400001,15000,19,15000,15000,1,17136,17136,0.10236363911908376,Low
WA,INDIVIDUAL,10+ years,Cellnetix Pathology,Good Loan,Good Loan,1,0,69124,3/8/2021,5/16/2021,4/11/2021,0,266619,3/1/2021 12:00:00 AM,5/11/2021,0,B4,0,Not Verified,36000.0,0.037999999,0.1039,0,,0,,0.037999999,1,1,21028.0,1,18000.0,584.119995117,0.1039,18000,9,18000,18000,1,21028,21028,0.11848491336256102,Low
KY,INDIVIDUAL,2 years,BJ OIL SERVICE COMPANY,Good Loan,Good Loan,4,4,69168,4/8/2021,5/16/2021,4/11/2021,0,266943,4/1/2021 12:00:00 AM,5/11/2021,6,E4,0,Verified,60000.0,0.0274,0.151299998,0,,0,,0.0274,1,1,6251.0,1,5000.0,173.649993896,0.151299998,5000,6,5000,5000,1,6251,6251,0.2445705592101415,Low
OH,INDIVIDUAL,< 1 year,,Good Loan,Good Loan,0,0,69251,5/8/2021,5/11/2021,5/11/2021,0,267771,5/1/2021 12:00:00 AM,6/11/2021,9,A3,0,Not Verified,75000.0,0.160799995,0.079999998,0,,0,,0.160799995,1,1,6784.0,1,6000.0,188.020004272,0.079999998,6000,39,6000,6000,1,6784,6784,0.12085306428922157,Low
AZ,INDIVIDUAL,2 years,Witron Intergrated logistics,Good Loan,Good Loan,3,4,69550,5/10/2021,5/16/2021,8/14/2021,0,270212,5/1/2021 12:00:00 AM,9/14/2021,0,D3,1,Not Verified,46000.0,0.171900004,0.153300002,0,,0,,0.171900004,1,1,15924.0,1,11200.0,268.399993896,0.153300002,11200,11,11200,11200,1,15924,15924,0.24240726287473127,Low
MI,INDIVIDUAL,10+ years,State of Michigan,Good Loan,Good Loan,0,3,69828,3/8/2021,8/11/2021,8/11/2021,0,272798,3/1/2021 12:00:00 AM,9/11/2021,9,A5,0,Not Verified,50000.0,0.025900001,0.086300001,0,,0,,0.025900001,1,1,17208.0,1,15000.0,474.420013428,0.086300001,15000,25,15000,15000,1,17208,17208,0.07206822748427644,Low
CA,INDIVIDUAL,3 years,GAP,Good Loan,Good Loan,3,4,69924,3/8/2021,2/16/2021,4/11/2021,0,274280,3/1/2021 12:00:00 AM,5/11/2021,2,D4,0,Not Verified,100000.0,0.079400003,0.135499999,0,,0,,0.079400003,1,1,12225.0,1,10000.0,339.600006104,0.135499999,10000,14,10000,10000,1,12225,12225,0.18541924256918185,Low
CT,INDIVIDUAL,< 1 year,Diageo North America,Good Loan,Good Loan,0,4,69990,2/10/2021,2/13/2021,2/13/2021,0,275254,2/1/2021 12:00:00 AM,3/13/2021,2,A5,0,Not Verified,125000.0,0.070500001,0.0788,0,,0,,0.070500001,1,1,17438.0,1,15500.0,484.850006104,0.0788,15500,21,15500,15500,1,17438,17438,0.08048979443820294,Low
IL,INDIVIDUAL,4 years,City Lights LTD,Good Loan,Good Loan,2,4,70348,3/8/2021,5/16/2021,5/10/2021,0,280311,3/1/2021 12:00:00 AM,6/10/2021,0,C5,0,Not Verified,78000.0,0.088,0.122900002,0,,0,,0.088,1,1,11341.0,1,9600.0,320.190002441,0.122900002,9600,27,9600,9600,1,11341,11341,0.16254315503541295,Low
NY,INDIVIDUAL,1 year,Ping Interactive,Good Loan,Good Loan,1,0,76597,7/7/2021,7/10/2021,7/10/2021,0,76583,7/1/2021 12:00:00 AM,8/10/2021,9,B2,0,Not Verified,250000.0,0.100000001,0.090099998,0,,0,,0.100000001,1,1,5725.0,1,5000.0,159.029998779,0.090099998,5000,7,5000,5000,1,5725,5725,0.15542882314351464,Low
MA,INDIVIDUAL,10+ years,Revere Public Schools,Good Loan,Good Loan,0,0,84918,9/7/2021,6/7/2021,4/8/2021,0,84914,9/1/2021 12:00:00 AM,5/8/2021,9,A2,0,Not Verified,65000.0,0.0028,0.074299999,0,,0,,0.0028,1,1,5200.0,1,5000.0,155.380004883,0.074299999,5000,21,5000,5000,1,5200,5200,0.12867688455909973,Low
MA,INDIVIDUAL,< 1 year,Evergreen Center,Good Loan,Good Loan,4,3,87023,6/7/2021,6/10/2021,6/10/2021,0,86999,6/1/2021 12:00:00 AM,7/10/2021,0,E2,0,Not Verified,22000.0,0.142900005,0.137500003,0,,0,,0.142900005,1,1,9195.0,1,7500.0,255.429992676,0.137500003,7500,8,7500,7500,1,9195,9195,0.2652771635312235,Medium
NY,INDIVIDUAL,4 years,Rail Europe Group,Good Loan,Good Loan,0,4,88854,8/7/2021,5/7/2021,3/8/2021,0,70699,8/1/2021 12:00:00 AM,4/8/2021,5,A2,0,Not Verified,200000.0,0.0028,0.074299999,0,,0,,0.0028,1,1,5174.0,1,5000.0,155.380004883,0.074299999,5000,2,5000,5000,1,5174,5174,0.11550715890182865,Low
MD,INDIVIDUAL,< 1 year,,Good Loan,Good Loan,0,0,90376,7/7/2021,6/7/2021,1/8/2021,0,89243,7/1/2021 12:00:00 AM,2/8/2021,9,A2,0,Not Verified,200000.0,0.0372,0.074299999,0,,0,,0.0372,1,1,5174.0,1,5000.0,155.380004883,0.074299999,5000,26,5000,5000,1,5174,5174,0.12805443724289528,Low
MA,INDIVIDUAL,< 1 year,,Good Loan,Good Loan,0,0,90395,7/7/2021,6/7/2021,4/8/2021,0,90390,7/1/2021 12:00:00 AM,5/8/2021,0,A4,0,Not Verified,100000.0,0.023,0.080700003,0,,0,,0.023,1,1,5272.0,1,5000.0,156.839996338,0.080700003,5000,20,5000,5000,1,5272,5272,0.1615001753994086,Low
NC,INDIVIDUAL,3 years,"Squarewave Solutions, Ltd.",Good Loan,Good Loan,2,4,90665,7/7/2021,7/10/2021,7/10/2021,0,90607,7/1/2021 12:00:00 AM,8/10/2021,2,C1,0,Not Verified,18000.0,0.064000003,0.102799997,0,,0,,0.064000003,1,1,9913.0,1,8500.0,275.380004883,0.102799997,8500,9,8500,8500,1,9913,9913,0.16200659069060866,Low
GA,INDIVIDUAL,8 years,Oracle Corporation,Good Loan,Good Loan,0,0,90966,7/7/2021,6/7/2021,1/8/2021,0,90962,7/1/2021 12:00:00 AM,2/8/2021,4,A2,0,Not Verified,150000.0,0.0,0.074299999,0,,0,,0.0,1,1,5174.0,1,5000.0,155.380004883,0.074299999,5000,19,5000,5000,1,5174,5174,0.14647206620182285,Low
CO,INDIVIDUAL,4 years,FiSite Research,Good Loan,Good Loan,0,0,92187,7/7/2021,6/10/2021,7/10/2021,0,92174,7/1/2021 12:00:00 AM,8/10/2021,4,A4,0,Not Verified,110000.0,0.113300003,0.080700003,0,,0,,0.113300003,1,1,2823.0,1,2500.0,78.419998169,0.080700003,2500,40,2500,2500,1,2823,2823,0.15874999298885703,Low
CO,INDIVIDUAL,5 years,"A. F. Wolfers, Inc.",Good Loan,Good Loan,1,0,92402,7/7/2021,11/14/2021,7/10/2021,0,92390,7/1/2021 12:00:00 AM,8/10/2021,2,B1,0,Not Verified,75000.0,0.155499995,0.086999997,0,,0,,0.155499995,1,1,5699.0,1,5000.0,158.300003052,0.086999997,5000,29,5000,5000,1,5699,5699,0.18366341491926502,Low
MA,INDIVIDUAL,7 years,MetraTech Corp,Good Loan,Good Loan,0,0,92440,7/7/2021,6/7/2021,7/10/2021,0,92423,7/1/2021 12:00:00 AM,8/10/2021,12,A2,0,Not Verified,95000.0,0.0383,0.074299999,0,,0,,0.0383,1,1,5594.0,1,5000.0,155.380004883,0.074299999,5000,16,5000,5000,1,5594,5594,0.11833666263322085,Low
WI,INDIVIDUAL,1 year,Rush Univ Med Grp,Good Loan,Good Loan,0,3,92507,7/7/2021,6/7/2021,7/10/2021,0,92502,7/1/2021 12:00:00 AM,8/10/2021,2,A2,0,Not Verified,85000.0,0.0031,0.074299999,0,,0,,0.0031,1,1,5594.0,1,5000.0,155.380004883,0.074299999,5000,19,5000,5000,1,5594,5594,0.1317907392173389,Low
WI,INDIVIDUAL,< 1 year,Self-Employeed,Good Loan,Good Loan,2,3,92533,7/7/2021,6/7/2021,7/10/2021,0,92529,7/1/2021 12:00:00 AM,8/10/2021,2,C4,0,Not Verified,80000.0,0.0121,0.112199999,0,,0,,0.0121,1,1,5912.0,1,5000.0,164.229995728,0.112199999,5000,29,5000,5000,1,5912,5912,0.19533575285399488,Low
FL,INDIVIDUAL,4 years,Millenium Group,Good Loan,Good Loan,1,0,92552,7/7/2021,6/10/2021,7/10/2021,0,92542,7/1/2021 12:00:00 AM,8/10/2021,0,B5,0,Not Verified,48000.0,0.080300003,0.099600002,0,,0,,0.080300003,1,1,5805.0,1,5000.0,161.25,0.099600002,5000,6,5000,5000,1,5805,5805,0.19452272117521358,Low
WI,INDIVIDUAL,2 years,Stark and Roth Inc,Good Loan,Good Loan,1,0,92666,7/7/2021,6/7/2021,7/10/2021,0,92661,7/1/2021 12:00:00 AM,8/10/2021,4,B3,0,Not Verified,180000.0,0.1193,0.0933,0,,0,,0.1193,1,1,5752.0,1,5000.0,159.770004272,0.0933,5000,38,5000,5000,1,5752,5752,0.17561296537754678,Low
WI,INDIVIDUAL,< 1 year,,Good Loan,Good Loan,0,0,92676,7/7/2021,6/7/2021,7/10/2021,0,92671,7/1/2021 12:00:00 AM,8/10/2021,4,A4,0,Not Verified,180000.0,0.055500001,0.080700003,0,,0,,0.055500001,1,1,5646.0,1,5000.0,156.839996338,0.080700003,5000,39,5000,5000,1,5646,5646,0.14527718931594313,Low
MA,INDIVIDUAL,8 years,MetraTech,Good Loan,Good Loan,0,0,93061,7/7/2021,6/10/2021,7/10/2021,0,93057,7/1/2021 12:00:00 AM,8/10/2021,0,A2,0,Not Verified,120000.0,0.0229,0.074299999,0,,0,,0.0229,1,1,5594.0,1,5000.0,155.380004883,0.074299999,5000,16,5000,5000,1,5594,5594,0.16158562466346366,Low
MA,INDIVIDUAL,< 1 year,,Good Loan,Good Loan,1,0,93277,7/7/2021,7/10/2021,7/10/2021,0,93254,7/1/2021 12:00:00 AM,8/10/2021,11,B1,0,Not Verified,25000.0,0.145400003,0.086999997,0,,0,,0.145400003,1,1,3419.0,1,3000.0,94.980003357,0.086999997,3000,13,3000,3000,1,3419,3419,0.15863333773556107,Low
NY,INDIVIDUAL,2 years,Oracle,Good Loan,Good Loan,2,0,94838,7/7/2021,2/13/2021,7/10/2021,0,73673,7/1/2021 12:00:00 AM,8/10/2021,4,C1,0,Not Verified,200000.0,0.0,0.102799997,0,,0,,0.0,1,1,3499.0,1,3000.0,97.199996948,0.102799997,3000,8,3000,3000,1,3499,3499,0.2315579749251527,Low
GA,INDIVIDUAL,1 year,Self-employed,Good Loan,Good Loan,2,3,96350,7/7/2021,10/12/2021,7/10/2021,0,96338,7/1/2021 12:00:00 AM,8/10/2021,2,C4,0,Not Verified,30000.0,0.186399996,0.112199999,0,,0,,0.186399996,1,1,5912.0,1,5000.0,164.229995728,0.112199999,5000,12,5000,5000,1,5912,5912,0.19094323715670408,Low
IN,INDIVIDUAL,7 years,Peerless Pump Company,Good Loan,Good Loan,0,0,96844,7/7/2021,7/10/2021,7/10/2021,0,95222,7/1/2021 12:00:00 AM,8/10/2021,2,A5,0,Not Verified,74000.0,0.143700004,0.083800003,0,,0,,0.143700004,1,1,6013.0,1,5300.0,167.020004272,0.083800003,5300,29,5300,5300,1,6013,6013,0.14925185601471427,Low
GA,INDIVIDUAL,< 1 year,,Good Loan,Good Loan,0,4,98276,7/7/2021,12/13/2021,7/10/2021,0,98268,7/1/2021 12:00:00 AM,8/10/2021,3,A3,0,Not Verified,8000.0,0.029999999,0.077500001,0,,0,,0.029999999,1,1,6069.0,1,5400.0,168.600006104,0.077500001,5400,4,5400,5400,1,6069,6069,0.11933623979462128,Low
IN,INDIVIDUAL,4 years,Northwestern School Corporation,Good Loan,Good Loan,0,4,98339,7/7/2021,6/7/2021,4/10/2021,0,97572,7/1/2021 12:00:00 AM,5/10/2021,12,A5,0,Not Verified,32000.0,0.147799999,0.083800003,0,,0,,0.147799999,1,1,5779.0,1,5100.0,160.720001221,0.083800003,5100,22,5100,5100,1,5779,5779,0.09328258507578342,Low
VA,INDIVIDUAL,1 year,Viget Labs,Good Loan,Good Loan,1,4,98982,7/7/2021,7/10/2021,7/10/2021,0,98957,7/1/2021 12:00:00 AM,8/10/2021,2,B2,0,Not Verified,73000.0,0.099600002,0.090099998,0,,0,,0.099600002,1,1,5725.0,1,5000.0,159.029998779,0.090099998,5000,28,5000,5000,1,5725,5725,0.1511355076212706,Low
MA,INDIVIDUAL,10+ years,FDA,Good Loan,Good Loan,0,0,99009,7/7/2021,4/10/2021,5/10/2021,0,98991,7/1/2021 12:00:00 AM,6/10/2021,0,A2,0,Not Verified,125000.0,0.0027,0.074299999,0,,0,,0.0027,1,1,6422.0,1,5750.0,178.690002441,0.074299999,5750,16,5750,5750,1,6422,6422,0.15744173508008394,Low
WI,INDIVIDUAL,< 1 year,Self-Employed,Good Loan,Good Loan,0,3,100214,8/7/2021,6/7/2021,8/10/2021,0,100208,8/1/2021 12:00:00 AM,9/10/2021,2,A2,0,Not Verified,45000.0,0.0112,0.074299999,0,,0,,0.0112,1,1,5594.0,1,5000.0,155.380004883,0.074299999,5000,11,5000,5000,1,5594,5594,0.1316409272349123,Low
CO,INDIVIDUAL,< 1 year,RoadNarrows Robotics,Good Loan,Good Loan,2,4,101579,7/7/2021,10/10/2021,7/10/2021,0,100083,7/1/2021 12:00:00 AM,8/10/2021,11,C1,0,Not Verified,27376.0,0.107000001,0.102799997,0,,0,,0.107000001,1,1,11663.0,1,10000.0,323.980010986,0.102799997,10000,4,10000,10000,1,11663,11663,0.12045140180764212,Low
NY,INDIVIDUAL,2 years,Institute for Mind/Body Research and Education,Good Loan,Good Loan,2,4,102376,7/7/2021,6/10/2021,6/10/2021,0,95212,7/1/2021 12:00:00 AM,7/10/2021,11,C2,0,Not Verified,48000.0,0.0405,0.105899997,0,,0,,0.0405,1,1,29270.0,1,25000.0,813.650024414,0.105899997,25000,12,25000,25000,1,29270,29270,0.06529947236673102,Low
FL,INDIVIDUAL,< 1 year,UNIQUE ID WEB DESIGN,Good Loan,Good Loan,1,4,106079,7/7/2021,5/16/2021,3/9/2021,0,106039,7/1/2021 12:00:00 AM,4/9/2021,3,B5,0,Not Verified,13500.0,0.164399996,0.099600002,0,,0,,0.164399996,1,1,3942.0,1,3500.0,112.870002747,0.099600002,3500,16,3500,3500,1,3942,3942,0.15463469111001535,Low
MA,INDIVIDUAL,1 year,Turner Construction,Good Loan,Good Loan,5,4,106360,7/7/2021,7/10/2021,7/10/2021,0,106333,7/1/2021 12:00:00 AM,8/10/2021,0,F4,0,Not Verified,52200.0,0.125699997,0.159600005,0,,0,,0.125699997,1,1,3415.0,1,2700.0,94.879997253,0.159600005,2700,13,2700,2700,1,3415,3415,0.34916548103482486,Medium
FL,INDIVIDUAL,3 years,Zensah Company,Good Loan,Good Loan,2,4,107136,7/7/2021,7/7/2021,4/8/2021,0,107130,7/1/2021 12:00:00 AM,5/8/2021,11,C2,0,Not Verified,60000.0,0.171200007,0.105899997,0,,0,,0.171200007,1,1,13129.0,1,12250.0,398.690002441,0.105899997,12250,24,12250,12250,1,13129,13129,0.1089634418099086,Low
ME,INDIVIDUAL,< 1 year,Eastland Park Hotel,Good Loan,Good Loan,2,4,109355,7/7/2021,7/10/2021,7/10/2021,0,109346,7/1/2021 12:00:00 AM,8/10/2021,2,C5,0,Not Verified,20000.0,0.020400001,0.115400001,0,,0,,0.020400001,1,1,1425.0,1,1200.0,39.599998474,0.115400001,1200,4,1200,1200,1,1425,1425,0.2133451887735615,Low
FL,INDIVIDUAL,6 years,Auto motors of miami,Bad Loan,Bad Loan,4,0,111227,8/7/2021,5/16/2021,2/10/2021,1,111223,8/1/2021 12:00:00 AM,3/10/2021,2,E1,0,Not Verified,145000.0,0.101499997,0.134299994,1,20340.0,1,20000.0,0.101499997,1,0,,0,,678.08001709,0.134299994,20000,26,20000,20000,1,20340,20340,0.1885963373457101,Low
FL,INDIVIDUAL,9 years,ISO MERCHANT SERVICES,Good Loan,Good Loan,3,3,111307,8/7/2021,7/10/2021,7/10/2021,0,105982,8/1/2021 12:00:00 AM,8/10/2021,2,D3,0,Not Verified,75000.0,0.150000006,0.124899998,0,,0,,0.150000006,1,1,14449.0,1,12000.0,401.369995117,0.124899998,12000,24,12000,12000,1,14449,14449,0.17932817215627042,Low
WI,INDIVIDUAL,1 year,"Stratagem, Inc.",Good Loan,Good Loan,1,4,111917,8/7/2021,7/10/2021,8/10/2021,0,111912,8/1/2021 12:00:00 AM,9/10/2021,8,B4,0,Not Verified,60000.0,0.077200003,0.0964,0,,0,,0.077200003,1,1,7396.0,1,6400.0,205.449996948,0.0964,6400,8,6400,6400,1,7396,7396,0.12280231765698277,Low
NY,INDIVIDUAL,1 year,Panavision International,Good Loan,Good Loan,3,4,112216,8/7/2021,3/11/2021,3/11/2021,0,106279,8/1/2021 12:00:00 AM,4/11/2021,0,D1,0,Not Verified,65000.0,0.071400002,0.118600003,0,,0,,0.071400002,1,1,14361.0,1,12000.0,397.75,0.118600003,12000,23,12000,12000,1,14361,14361,0.18117743411815254,Low
WI,INDIVIDUAL,6 years,Norman G. Olson Insurance,Good Loan,Good Loan,0,4,112245,7/7/2021,4/16/2021,8/10/2021,0,112227,7/1/2021 12:00:00 AM,9/10/2021,1,A2,0,Not Verified,40000.0,0.0255,0.074299999,0,,0,,0.0255,1,1,5594.0,1,5000.0,155.380004883,0.074299999,5000,7,5000,5000,1,5594,5594,0.1279080403718878,Low
MA,INDIVIDUAL,< 1 year,The Dartmouth Company,Good Loan,Good Loan,2,4,112323,7/7/2021,8/10/2021,9/10/2021,0,107671,7/1/2021 12:00:00 AM,10/10/2021,8,C1,0,Not Verified,20000.0,0.015,0.102799997,0,,0,,0.015,1,1,4097.0,1,3500.0,113.38999939,0.102799997,3500,18,3500,3500,1,4097,4097,0.1697700316230375,Low
IN,INDIVIDUAL,2 years,Fairfield Manufacturing,Good Loan,Good Loan,3,0,112496,8/7/2021,7/10/2021,8/10/2021,0,112493,8/1/2021 12:00:00 AM,9/10/2021,0,D1,0,Not Verified,36153.0,0.074699998,0.118600003,0,,0,,0.074699998,1,1,3580.0,1,3000.0,99.440002441,0.118600003,3000,6,3000,3000,1,3580,3580,0.29816333547838086,Medium
